service_date,geography,disrupted,precipitation_mm
2026-05-03,Warsaw,false,0.0
2026-05-04,Warsaw,true,22.4
2026-05-05,Warsaw,false,1.3
2026-05-06,Warsaw,false,3.2
2026-05-07,Warsaw,true,19.8
2026-05-08,Warsaw,false,0.4
2026-05-09,Warsaw,false,5.1
2026-05-10,Warsaw,true,27.6
2026-05-11,Warsaw,false,2.0
2026-05-12,Warsaw,false,0.0
2026-05-13,Warsaw,true,31.2
2026-05-14,Warsaw,false,7.8
2026-05-15,Warsaw,false,0.9
2026-05-16,Warsaw,true,18.4
2026-05-17,Warsaw,false,4.0
2026-05-18,Warsaw,false,2.6
2026-05-19,Warsaw,true,24.9
2026-05-20,Warsaw,false,0.0
2026-05-21,Warsaw,false,1.5
2026-05-22,Warsaw,true,20.3
2026-05-23,Warsaw,false,5.6
2026-05-24,Warsaw,false,0.2
2026-05-25,Warsaw,true,29.1
2026-05-26,Warsaw,false,3.8
2026-05-27,Warsaw,true,17.2
2026-05-28,Warsaw,false,2.1
2026-05-29,Warsaw,false,0
2026-05-30,Warsaw,true,28.4
2026-05-31,Warsaw,false,4.5
2026-06-01,Warsaw,true,21.7
