service_date,network,geography,service_window,late_observation_ratio,delay_event
2026-05-01,hsl-surface,helsinki,morning_peak,0.12,false
2026-05-02,hsl-surface,helsinki,morning_peak,0.18,false
2026-05-03,hsl-surface,helsinki,morning_peak,0.22,true
2026-05-04,hsl-surface,helsinki,morning_peak,0.09,false
2026-05-05,hsl-surface,helsinki,morning_peak,0.31,true
2026-05-06,hsl-surface,helsinki,morning_peak,0.16,false
2026-05-07,hsl-surface,helsinki,morning_peak,0.11,false
2026-05-08,hsl-surface,helsinki,morning_peak,0.27,true
2026-05-09,hsl-surface,helsinki,morning_peak,0.13,false
2026-05-10,hsl-surface,helsinki,morning_peak,0.19,false
2026-05-11,hsl-surface,helsinki,morning_peak,0.21,true
2026-05-12,hsl-surface,helsinki,morning_peak,0.10,false
2026-05-13,hsl-surface,helsinki,morning_peak,0.14,false
2026-05-14,hsl-surface,helsinki,morning_peak,0.17,false
2026-05-15,hsl-surface,helsinki,morning_peak,0.24,true
2026-05-16,hsl-surface,helsinki,morning_peak,0.08,false
2026-05-17,hsl-surface,helsinki,morning_peak,0.15,false
2026-05-18,hsl-surface,helsinki,morning_peak,0.12,false
2026-05-19,hsl-surface,helsinki,morning_peak,0.30,true
2026-05-20,hsl-surface,helsinki,morning_peak,0.18,false
2026-05-21,hsl-surface,helsinki,morning_peak,0.13,false
2026-05-22,hsl-surface,helsinki,morning_peak,0.16,false
2026-05-23,hsl-surface,helsinki,morning_peak,0.23,true
2026-05-24,hsl-surface,helsinki,morning_peak,0.10,false
2026-05-25,hsl-surface,helsinki,morning_peak,0.14,false
2026-05-26,hsl-surface,helsinki,morning_peak,0.18,false
2026-05-27,hsl-surface,helsinki,morning_peak,0.11,false
2026-05-28,hsl-surface,helsinki,morning_peak,0.15,false
2026-05-29,hsl-surface,helsinki,morning_peak,0.19,false
2026-05-30,hsl-surface,helsinki,morning_peak,0.09,false
