service_date,network,geography,service_window,captured_at,trip_id,stop_id,delay_seconds
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T03:10:00Z,trip-001,stop-001,120
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T03:15:00Z,trip-002,stop-002,340
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T03:20:00Z,trip-003,stop-003,60
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T03:25:00Z,trip-004,stop-004,310
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T03:30:00Z,trip-005,stop-005,180
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T03:35:00Z,trip-006,stop-006,95
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T03:40:00Z,trip-007,stop-007,410
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T03:45:00Z,trip-008,stop-008,210
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T03:50:00Z,trip-009,stop-009,75
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T03:55:00Z,trip-010,stop-010,305
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T04:00:00Z,trip-011,stop-011,40
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T04:05:00Z,trip-012,stop-012,140
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T04:10:00Z,trip-013,stop-013,390
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T04:15:00Z,trip-014,stop-014,160
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T04:20:00Z,trip-015,stop-015,85
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T04:25:00Z,trip-016,stop-016,220
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T04:30:00Z,trip-017,stop-017,190
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T04:35:00Z,trip-018,stop-018,105
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T04:40:00Z,trip-019,stop-019,260
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T04:45:00Z,trip-020,stop-020,70
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T04:50:00Z,trip-021,stop-021,115
2026-06-10,hsl-surface,helsinki,morning_peak,2026-06-10T04:55:00Z,trip-022,stop-022,145
